document_id,clean_text,sentiment
24,movie sleepy initial hour literally feel like damm nod amitabhs acting lift bar raise excitement publicising prabhas joke end time redeems worth hyper people created deepika usual glam like mother dragon got next none dialogue direction vfs million idea copied mad max fury sure guess subsided good pickup post interval ending indeed worth part,positive
25,nagashwin dream big manages execute spectacle merging apocalyptic world mahabharata take lot time set thing first half ample pacing issue fact narrative dip majorly impressive beginning however thing set well pre interval block episode first half also test patience drag reason team easily trim minute first half film peak second half especially last minute action block prabhas amitabhbachchan deepikapadukone centre followed extended climax keep edge seat visuals world literally elevated background score finale set thing second installment kalki ad amitabhbachchan ashwatthama highlight kalki roaring screen presence excels deepikapadukone get meaty part soul film delivers fabulous performance lending right emotion prabhas well part though character warranted better arc feel maker saved best prabhas sequel get share elevation moment emerges winner act climax sure greeted seeti taali kamalhaasan terrific cameo spike excitement next installment sawatachatterjee solid villain cameo exciting come across pleasant surprise narrative overall kalki ad ambitious film director nagashwin deserves full mark sticking conviction minute trimming especially first half would elevate experience film enough second half warrant theatrical watch keep audience interested sequel,positive
26,gripping second half lengthy movie spoiler,positive
27,rating first week always rigged production team probably worst movie utter time waste even sit upto interval absolutlely mindless rubbish story go movie complete time waste director know utter rubbish humour funny action sequence may call total joke ability good actor totally wasted pain go thru even whatever saw complete waste time money pls waste audience time like,negative
28,best indian movie nagi combined hindu mythology future great vfx par hollywood good concept script prabhas bachan dusted even disappointment darling nagi smartly added fan based elevation also carefully narrated story without getting bored touch rajamouli rgv dulquer vijay devarakonda superb boosted scene betweeen finally movie deserves due nagi daring attempt imagine kind big movie perfect story extraordinary screenplay everyone watch movie obscene word scene,positive
29,must say start movie good prabhas disaster beginning know baahubali seems like s rajamouli know bring best disha patani contributes little beyond couple ridiculous joke silly song however first hour half real movie begin real drama good action brilliance mr amitabh bachchan elevate film whole new level presence stature class delivery exceptional point movie becomes thrilling incredibly exciting kalki ad mr big deepika others presence limited big one looking forward kamal haasan seriously embodies evil villain additionally notice significant inspiration hollywood movie end worth sitting hour minute,positive
30,kalki ambitious tollywood project kudos actor south coming together trusting director process bit even mean small cameo really applaudable name suggests kalki inspired epic tale mahabharata yet feel like plagiarized science fiction story taken around world pinch indina mythology however visual cinematic treat given cgi vfx used plot amiss storytelling screenplay dialogue keep hooked dragging pointless time character building entire cast biggest letdown prophetic incarnation lord vishnu last avatar imbibed story way supposed underwhelming kalki somewhat bearable one amitabh bachchan performance screen presence acting soul film loved seeing favorite actor brahmanadam small role prabhas usual prabhas swag power nothing new deepika padukone performance disha patni role kinda unnecessary seems like typical beach scene show fit body overall kalki expensive indian film rather disappointing definitely fails deliver theatre housefull far im pretty sure bez take review first instalment kalki cinematic universe hope next one justice one hard pas,negative
31,movie spectacular achievement indian cinema reaching grandeur hollywood production tackling indian mythology particularly mahabharata daunting task film excels vfx effect whole level storyline great creating entirely new universe climax interval scene truly goosebump inducing movie start bit fun comedy though small lag first minute prabhas fan thrilled yet amitabh bachchan sir performance standout truly amitabh bachchan bos additionally kamal hassan deepika padukone delivered outstanding performance movie poised take indian cinema entirely new level excellence spent lot money watch every marvel movie starting iron man spending watch movie worth spent marvel indian marvel believe movie job indian cinema iron man marvel start amazing universe upcoming movie every indian proud movie,positive
32,film feel dragged one definitely could gauge long runtime film also quite unsuccessfully tried indulge masala filmgoers adding unnecessary drama stale humour inadvertently funny hero entrance special mention annoying dialogue hero advanced smart vehicle vexing gimmick extent made immune concern seriousness issue screen dystopian society crumbles depleting resource battle survival have nots plot hard come indian film supported better writing induce required macabre among viewer film excels way handled grand visuals special effect absolute treat big screen rendering kashi shambhala done splendidly gargantuan scale film excels even managed incorporate character indian epic mahabharata futuristic setting film best bit film also thereby glance get kurukshetra war feeling seeing visuals story privy long time euphoric,neutral
33,kalki ad movie review nag ashwin spends r crore sci fi action flick kalki ad brings one valued cast together amitabh bachchan prabhas deepika padukone kamal haasan plenty cameo worth somewhat yes somewhat cast budget kalki dreamed becoming pathbreaking film indian cinema desire typical outdated south masala action flick opinion intermission extent first minute kalki changed last minute extraordinary vision blending mythology call history futuristic cinema big screen spectacle reminds massive budget yet average looking show elevated climax perhaps grandest massiest elevation climax modern indian film period kalki ad deserves seen big screen especially imax film begin end mahabharata ashwattha amitabh bachchan cursed lord krishna immortality attempt kill uttara unborn child krishna tell redemption referring last avatar kalki take place future world darkness take universe cut post apocalyptic world year ad film follows story sum sumathi deepika padukone lab subject happens mother give birth god supreme yaskin kamal haasan proclaimed god complex place presenting dystopian kashi future trying find serum fertilized woman bear power every woman failing dying process sumathi turn healthy even day ashwatthama realizes sign arrives save sumathi child yaskin men hunting every place find bhairava prabhas bounty hunter looking place complex sumathi set immortal ashwatthama win kalki ad screenplay lot issue right beginning first dialogue bad dialogue writer jailed writing outdated type dialogue futuristic film humour even cheaper bhairava bujii try funny end becoming big joke conceptualization whoever wrote dialogue scene illogical defended bhairava desperate nature join complex vital theory bujji seems romantic authentic ashwatthama made fight like local guy mean heck freaking ashwatthama man die immortal powerful want believe fighting like local man getting stopped machine laser bullet must kidding one battle scene bhairava ashwatthama seen running fire mean height stupidity go bhairava roxy disha patani character getting minute pas ai driven world complex bhairava seen enjoying like house nowhere roxy party clothes machine track minute roxy disappeared scene positive kalki world grand grandeur visible eye first scene see place like never seen indian cinema even though attract well beginning interval block entire long climax scene make sure blown away stupendous layout image nag ashwin written terrible first half making kalki magnum opus regular mindless south action movie man kept weapon saved second half use mythology twist climax prabhas character make sure ticket money spent something worthy kalki may hundred problem getting climax right never list action scene prabhas amitabh definitely call big screen extravaganza believe kalki ad belongs amitabh bachchan yes right know saying kalki belongs amitabh bachchan man played biggest role biggest indian movie time indian movie star ever surpass highly doubt salute legend thank god keeping u alive era spreading magic screen screen time action sequence dialogue never seen man magnum opus remember name mr amitabh bachchan prabhas play childish character bhairava certainly leaf furious seriously need avoid scene acting tolerate everything minute next minute show different prabhas read line say prabhas got memorable scene career far kalki climax people really know difference fictional character inspired history mythology realize transformation bhairava great warrior karna something many remember long time yes bahubali gigantic total fiction difference say save loudest cheer prabahs climax kamal haasan fantastic look kalki ad got much game begun yaskin get see really next part ironic realize seeing pregnant deepika reel instagram real life time seen flaunting baby bump reel life present callback value must say disha patani wasted look super fit hot minute presence saswata chatterjee big role surprisingly shobhana good small role well vijay deverakonda dulquer salmaan anny ben s rajamouli mrunal thakur brahmanandam ram gopal varma malvika nair many others small small cameo add stability film kalki ad scope music whatever music pretty dull total waste time make film slow song editing melodramatic score outdated execution necessary stretch film hour mean could easily trimmed minute especially soapy scene song cinematography good production value top class art design nice keeping minute climax aside want ask bag ashwin really man made mahanati kalki ad lack finesse crafting whereas mahanati finesse crafting storytelling kalki far outdated dramatic accepted futuristic film definitely surpass ashwin mahanati term quality acting storyline class overall outcome mass value crowd sentiment high nag certainly need update realize difference magnum opus humdrum mass film kalki could much better bigger big already thankfully see big low nag somehow survives incredible vision climax future cinematic universe want deliver better film sequel let hollywood know never kind history culture use carefully cinema best upcoming extravaganza imagine stunning surprise see next movie kalki franchise go rating,neutral
34,kalki ad larger life sci fi action experience visuals world building nag ashwin never indian cinema however nag ashwin show inexperience building proper drama emotional connect somewhat flat screenplay sana good job bgm certain place others adequate prabhas limited screen time one good job fun character give big fan worthy sequence climax rest cast especially amitabh deepika done take majority screenspace still able manage couple good block especially climax worked well goosebump worthy cameo wasted except vijay deverakondas cameo odd despite flaw movie experienced big screen experience offer,positive
35,derivative yet effective use many sci fi element western inspiration star war marvel even mad max always intrigued movie going integrate mythology visualization part mahabaratha looked almost like afterthought cheaper vfx amithab bhachan de ageing looking like video game character little bit war see still looking like imagine anything tv serial envisioned lot movie filled telugu commercial film trope hero worship comedy lacklustre cameo director talking trapping five year rebel star placing hero worship quip etc written situation clever manner place movie would worked great tone movie different seem place besides editing movie atrocious music feel like meant feel derivative want u think movie listening even lot supporting character felt like give emotional punch given moment clearly supposed sad due way written cramped movie part given focus instead wasting lot time comedy star worship despite issue say love watching especially last act love watching sci fi fantasy love mythology used read lot hindu mythology kid due reading lot like eventually lost belief still love fantastic story interconnected century complex storyline vision combining dream see watching realized really great one thing really appreciated showing mahabaratha part krishna even though still shrouded mystery without revealing face clearly shown dark skinned person described purana instead light skinned person painted blue like lot movie medias used past way use relevance mythical artefact dystopia shown worked really well really action sequence amithabh bhachan prabhas really worked even though editing great stuntwork vfx really good sequence reveals towards end climactic battle really made fully invested movie whole movie really lot world building setting thing etc come next film ended right interested see next part sure everything liked worthwhile recently ponniyin selvan second something similar totally disappointed second part web series also made seem like next season would real deal disappointed cautiously optimistic kamal hassan main antagonist next movie something really look forward played villain role played hero play villain like might something really good hope comedy hero worship reduced next part give u proper intense experience least bit balanced one,positive
36,hat idea nag ashwin bring indian mythology world cinema storyline great felt one movie could made bit detailing character arc origin story technical vfx side scene vfx outstanding scene poor felt scene dialogue rushed place unwanted humour elongated losing grip intense scene overall must watch potential landmark cinema like baahubali looking forward sequel hope atleast consider change required one,positive
37,indian mad max indian matrix batman technology etc mixed lot hero giri totally original storyline expected mahabharata amitabh bachchan made sense kamal hasan failed understand st half around hour useless made little sense big agreed movie got idea however best performance would great movie stick real post mahabharata story hour crazy nonsense action minute aswathama mahabharata kamal hasan anyway spend maximum weekend time pas,negative
38,one best movie combination mythology fact blended perfectly capture audience set ad city kasi humanity last refuge ruled god king supreme yaskin played kamal haasan story span mahabharata era future focusing kalki vishnu final avatar amitabh bachchan shine ashwathama guarding sum deepika padukone carrying unborn vishnu prabhas bhairava also impress alongside vijay deverakonda brahmanandam rajendra prasad distinct role natural accent kalki ad visually impress influence hollywood epic like avatar star war avenger etc however movie slow paced first half lessens impact fortunately second half gain momentum thrilling action impressive sound effect enhancing cinematic experience despite initial drawback kalki ad remains bold venture indian cinema pushing boundary theme visual splendor released hindi tamil malayalam kannada english dubbed version worth noting language adaptation may affect viewer engagement particularly hindi english version,positive
39,nag ashwin definitely vision matter inspired world costume character look style flair conception execution maybe tad inspired whatever seen audience growing marketed pan indian film get go humoungous cast element religion mythology always going play big part question going big frankly enjoy prabhas part first half either seemed telugu cinema esque taste maybe find prabhas carrying seamlessly starry aura way many others scene meant elevate end looking tepid also given anti hero packaging performer already easy like bachchan hand perfect fit look demeanor dialogue delivery everything presence simply light screen playing character ashwatthama call masterstroke kamal haasan play chief thanos like antagonist ace look bound make everyone room go dayummm though actual strength remain seen sequel saswata chatterjee namesake villain one simultaneously serving expository storytelling tool lady deepika padukone shobana disha patani anna ben luckily given sidelining treatment well except disha rightfully seen deepika handle gun fist well bollywood recently relegated mostly quiet mom refreshing change shobana play second meaty female role expected remarkably well anna ben also get nice little action block fact impactful prabhas introductory set piece large chunk first half easily chopped storytelling would remain unaffected feature prabhas bhairava boring rant complex also shambhala quite literally desi wakanda least could personality place nag ashwin heavy scavenging star war mad max avenger dune popular franchise lucky technical team especially visual effect let vfx work look like bachchan de aged face kurukshetra portion instance though constantly distracting sana score lack signature time around guessing asked add anything rock forte let real sequel turn lot better since promise certain kind showdown depend much bhairava bujji b subjected along way hope nag ashwin spends time working dialogue time around fewer attempt cringy humour cameo much,neutral
40,crappy movie adipurush bramhastra crappy seems far better movie really test patience much hype review nd half better first half blah blah blah second half pathetic much hyped action scene amateurish think producer spent lot money budget social medium marketing opposed spending better script screen play called cameo fall flat rgv ssr dulquer devarakonda etc etc sure purpose possibly explains huge budget going salary worthless character amitabh bachan saving grace,negative
41,kalki ad amply suffices expectation term story visuals skeptical say wether become epic sort mahabharatha glimpse rose epic proportion cgi amazing seen level work going indian movie conversion dneg mediocre would suggest watched amitabh bachan screen presence fight scene powerful many goosebump moment prabhas character setting stage yet come aandavar kamalhaasan started menacing wrinkly shrivelled villain mode lot potential upcoming movie deepika much good cameo short perfect annaben character cute shobana good screen time sheer scale nag ashwin created mindblowing super eager see mahabharatha sequence future kalki show telugu atmos need watch tamil hindi mode better understand intricate dialogue,positive
42,kalki ad watched movie th birthday good enough expected visuals stunning writing feel weak need better pacing amitabh bachchan nailed character ashwatthama prabhash mehhh even character bhairava good enough connection mahabharat excellent still lack many place movie make feel bore tired specially prabhas scene disha main plot amazes waste time nag ashwin excellent job direction cinematography vfx shot awesome last minute good contradict original mahabharat still good cameo awesome,positive
43,movie lot improve term dialogue etc simply magnanimity production attempt pushing boundary indian cinema gave star rating moment film begin captivates stunning visuals intricate set design transporting viewer world ancient legend modern aesthetic seamlessly converge attention detail production design commendable showcasing meticulous effort entire creative team kalki ad emerges landmark indian cinema masterfully weaving together mythological grandeur cutting edge science fiction directed visionary nag ashwin film feast eye intellect pushing boundary storytelling visual effect indian film,positive
44,well long time release whereas went movie weekend witness massy action high end graphic powerful casting incredible bgms associated hindu epic mahabharat yeah movie disappointed touched necessary point make massy audience movie classy one best part movie mahabharat sequence cinematography boosted bgms wow know story mahabharata surely get goosebump scene acting performance amitabh bacchan top notch sure really beast inside whole movie certainly overshadowed leading character inside movie prabhas played role decently first half little bit lack writing prabhas character way fought nd half showcased brilliant acting skill course twist climax scene top notch delivery deepika padukon character extremely average though mean potential character utilized sure lack emotion easily noticeable high power character kamal hasan character extremely short somehow impactful could make scary along commander played sashwat chatterjee music good high end graphic surely utilized properly amount invested hi tech gadget easily noticeable say somehow looked attractive according time jump editing somehow could done sharply especially first half hr movie might feel lengthy audience consider screenplay course engaging hr new age cinema overall complete family movie definitely wait next installment side star,positive
45,film masterpiece full entertainer leave negative review aside must watch film sculpted beautifully director actor lived role eagerly waiting second part find reason one wait next part indian filmography moving evolving next phase height sure see kind brilliance future graphic move smooth butter less compared hollywood kudos caption ship entire crew masterpiece,positive
46,movie redeeming quality particularly vfx depiction dystopian world visually impressive however positive end film suffers excessive overacting dialogue painfully weak making difficult connect character story feel forced lacking natural progression depth moreover set prop often appear cheap unconvincing looking outright plastic noticeable lack originality set character design detracts experience despite best effort enjoy movie subpar dialogue poorly developed character made nearly impossible movie ultimately fails deliver coherent engaging narrative leaving disappointed,neutral
47,last min good also action part rest hr min totally disaster proper story forcefully comedy scene never get laughter even smile prabhas last good bahubali deepika cant anything dont get good screen play reference mahabharat infact also forcefully created childish sci fi movie better white gun omg joke complex also big joke amitabh sir acted good power also impact fully showing good action scene without amitabh sir whole movie trash please dont make type movie hollywood movie maker laughing corner wathching,negative
48,film absolutely good everything vfx shot story line twist everything top line nagashwin vision made perfect flaw understand thing course mahabharat portion made movie amazing amitabh bachchan played role simply spectacular stealing every scene concept blending ancient history futuristic dystopia awesome sometimes movie feel slow bit allows u connect character explore motif prabhas delivered solid performance kalki deepika acting everyone else acting outstanding including kamal hassan must watch film,positive
49,firstly appreciate editing vfx team especially editing sequence color full movie right place right color secondly good story story telling director use heroin hero india joke part really huge star play perfect character job well young character amitabh bachchan sir thirdly totally different sci fi movie based hindu ancient good use hindu ancient sci fi favorite character movie bujjhi come point story mahavarat complex understand religion movie lover also total hour minute movie totally look like trailer nd part core story st part good thing greater bad thing use perfect story part give star,positive
50,huge disappointment story bad editing spoiler,negative
51,awesome action sequence really enjoyed rgv rajamouli cameo good character equal importance movie prabhas characterization good disha patani make good partner next part kamal hasan villain hard one beat coming movie amitabh action sequence different planet deepika acting skill good anna ben energetic character vd cameo good impact next part well wish see dulquer coming part also bujji point transform keerthi suresh humanoid look great brhamanandam great,positive
52,vishnu jesus christ film showed atrocity kaliyug show genocide robbery destruction caused turk european india liked film except point cringe forced try hard comedy cringe worthy english word line accent set design character design prop feel childish forgiven considering budget next part focus story action fx please avoid bad comedy unnecessary english hard watch screen fx good bad one forgiven due budget ashwatthama best character karna strong stronger arjun shown film source kurukshetra war another battle called virat battle karna team people stronger karna arjun alone divine chariot hanuman flag krishna yet arjun defeated also karna hero good person straight one villain mahabharat insulted pandavas wife calling prostitute supported publicly made nude killed arjun son cheating retreated came defending duryodhan gandarvas anyway ending well done scene kurukshetra battle best action good overall movie mostly good though perfect hope next part better director listen criticism many people saying,neutral
53,dose really worth hype honest big course better brahmastra adipurush believe want st part nothing gon na happen part total story though making decision easy mentioning positive negative positive graphic yes vfx good visuals really good amitabh bacchan acting strength best part movie brings story movie kamaal hassan cameo roll really looked like deadly villain vision appreciated counting fact indian film negative slow feel boring point want movie end unnecessary character help main plot comedy absolutely zero humor believe one laughed theatre lengthy main plot minute everything preserved part two nothing delivered part justify hype scene vfx looked mediocre,neutral
54,nag ashwin created nice fusion mythology science fiction world story telling even though feel fragmented beginning becomes nice flowing fusion movie progress around hour movie feel like drag required build story fight sequence use mad max type world look like imitation distinct indian attribute heroism larger life action heroic two main protagonist movie hollywood probably ever match casting amitabh bachchan ashwatthama excellent prabhas look stunning hero one else indian cinema pull role like cudos nag ashwin come little experience pull story well real treat prabhas fan wait next instalment,positive
55,big saviour spoiler,positive
56,prabhas latest film kalki nothing short cinematic marvel transcends boundary conventional storytelling epic saga directed visionary filmmaker nag ashwin masterfully blend mythology action drama create mesmerizing experience audience film set alternate reality world mythology futuristic technology collide creating setting awe inspiring thought provoking plot revolves around legendary mythological character like aswathama krishna find complex futuristic world modern ai technology advanced vehicle mankind last hope impending doom movie brilliantly showcase struggle protect world guided supreme god hinting theme destiny duty eternal battle good evil truly set kalki apart audacity dream big impeccable execution cgi visual effect nothing short breathtaking transporting audience vividly realized universe blur line reality fantasy every frame testament painstaking effort creativity gone world building creating visually stunning backdrop complement rich narrative,positive
57,initially inclined rate kalki ad six star powerful performance amitabh bachchan deepika padukone ultimately push film seven delivery coupled visually stunning portrayal mahabharata film standout feature clear say prabhas delivered poor performance asked director fault lie director either failed recognize prabhas true potential simply challenge enough prabhas outstanding baahubali many u always baahubali want see role capture commanding screen presence ability win heart however rest film felt weak never quite reaching wow moment seemed promise like prolonged attempt creating single grand spectacle broken smaller less impactful segment like rollercoaster designed child enough ups down never kind thrill make heart skip beat take breath away come india rich history mythology represent well screen rest world seems better job showcasing mythology going wrong,positive
58,worst movie ever seen nobody waste money time dont know people giving star review super slow nonsensical movie god know maker thinking making nothing wrong making movie based hindu scripture twisting soo much advertising name kalki completely wrong movie dont story line based cameo made rd class movie understand obsession sequel sequel also turn slow tortoise take least part complete,negative
